,Interval,Subject Type,Frame Index,Timestamp(x),Orbital,Nose,Ears,Whiskers,Cheek,Total Grimace Score,AU Scored,Confidence(Orbital),Confidence(Nose),Confidence(Ears),Confidence(Whiskers),Confidence(Cheek),Face Model,MGS Model
29,Clip 1: 000.csv,c57bl/6,6960,29.029,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
30,Clip 2: 030.csv,c57bl/6,7200,30.0,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
31,Clip 2: 030.csv,c57bl/6,7440,31.001,1,2,-1,-1,,,2,0.9980539083480836,1.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
32,Clip 2: 030.csv,c57bl/6,7680,32.002,2,-1,1,-1,,,2,0.9926511645317078,0.0,0.9997648596763612,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
33,Clip 2: 030.csv,c57bl/6,7920,33.003,1,-1,-1,-1,,,1,0.9968045949935912,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
34,Clip 2: 030.csv,c57bl/6,8160,34.004,2,-1,1,-1,,,2,0.8001789450645447,0.0,0.991011381149292,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
35,Clip 2: 030.csv,c57bl/6,8400,35.005,2,-1,1,-1,,,2,0.9999961853027344,0.0,0.787697434425354,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
36,Clip 2: 030.csv,c57bl/6,8640,36.006,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
37,Clip 2: 030.csv,c57bl/6,8880,37.007,-1,-1,1,-1,,,1,0.0,0.0,0.9845372438430786,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
38,Clip 2: 030.csv,c57bl/6,9120,38.008,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
39,Clip 2: 030.csv,c57bl/6,9360,39.009,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
40,Clip 2: 030.csv,c57bl/6,9600,40.01,-1,-1,1,-1,,,1,0.0,0.0,0.9999969005584716,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
41,Clip 2: 030.csv,c57bl/6,9840,41.010999999999996,0,-1,0,2,,,3,0.999901294708252,0.0,0.9980441331863404,0.98331218957901,,general/fau/generalv5,c57bl6-pain-mgs-20220901
42,Clip 2: 030.csv,c57bl/6,10080,42.012,1,-1,1,2,,,3,0.9999899864196776,0.0,0.9985637068748474,0.9934946894645692,,general/fau/generalv5,c57bl6-pain-mgs-20220901
43,Clip 2: 030.csv,c57bl/6,10320,43.013,1,-1,2,-1,,,2,0.9980931878089904,0.0,0.9989251494407654,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
44,Clip 2: 030.csv,c57bl/6,10560,44.013999999999996,1,-1,2,-1,,,2,0.5424558520317078,0.0,0.9991416931152344,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
45,Clip 2: 030.csv,c57bl/6,10800,45.015,-1,-1,2,0,,,2,0.0,0.0,0.999984860420227,0.9999998807907104,,general/fau/generalv5,c57bl6-pain-mgs-20220901
46,Clip 2: 030.csv,c57bl/6,11040,46.016000000000005,1,-1,2,0,,,3,0.9946303367614746,0.0,0.6736004948616028,1.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
47,Clip 2: 030.csv,c57bl/6,11280,47.016999999999996,2,-1,1,-1,,,2,0.998815894126892,0.0,0.9988946318626404,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
48,Clip 2: 030.csv,c57bl/6,11520,48.018,-1,-1,1,1,,,2,0.0,0.0,0.9949234127998352,0.9468696713447572,,general/fau/generalv5,c57bl6-pain-mgs-20220901
49,Clip 2: 030.csv,c57bl/6,11760,49.019,2,-1,2,1,,,3,0.9847650527954102,0.0,0.999963641166687,0.99868243932724,,general/fau/generalv5,c57bl6-pain-mgs-20220901
50,Clip 2: 030.csv,c57bl/6,12000,50.019999999999996,1,-1,2,-1,,,2,0.9999285936355592,0.0,0.9069489240646362,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
51,Clip 2: 030.csv,c57bl/6,12240,51.021,-1,2,2,0,,,3,0.0,0.999995231628418,0.5108048915863037,0.8293600082397461,,general/fau/generalv5,c57bl6-pain-mgs-20220901
52,Clip 2: 030.csv,c57bl/6,12480,52.022,-1,-1,1,-1,,,1,0.0,0.0,0.9350486993789672,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
53,Clip 2: 030.csv,c57bl/6,12720,53.022999999999996,1,-1,1,2,,,3,0.9757856726646424,0.0,0.9392056465148926,0.9571751952171326,,general/fau/generalv5,c57bl6-pain-mgs-20220901
54,Clip 2: 030.csv,c57bl/6,12960,54.024,0,-1,1,-1,,,2,0.908244490623474,0.0,0.5669886469841003,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
55,Clip 2: 030.csv,c57bl/6,13200,55.025,1,-1,1,1,,,3,0.9999997615814208,0.0,0.9997467398643494,0.9998464584350586,,general/fau/generalv5,c57bl6-pain-mgs-20220901
